"Date","Price","Open","High","Low","Change %"
"Dec 03, 2014","102.67","102.89","103.24","102.56","-0.25%"
"Dec 04, 2014","102.75","102.65","103.13","102.31","0.08%"
"Dec 05, 2014","101.26","102.71","102.81","101.02","-1.44%"
"Dec 08, 2014","102.32","101.20","102.75","100.88","1.04%"
"Dec 09, 2014","103.00","102.29","104.54","102.02","0.67%"
"Dec 10, 2014","104.72","102.98","104.79","102.80","1.67%"
"Dec 11, 2014","104.06","104.66","105.04","103.25","-0.63%"
"Dec 12, 2014","104.86","104.05","105.54","103.63","0.77%"
"Dec 15, 2014","107.76","104.62","108.03","104.59","2.77%"
"Dec 16, 2014","108.93","107.72","109.92","107.56","1.08%"
"Dec 17, 2014","106.68","108.82","109.24","106.41","-2.07%"
"Dec 18, 2014","105.71","106.64","106.75","105.25","-0.90%"
"Dec 19, 2014","104.47","105.67","105.79","104.26","-1.17%"
"Dec 22, 2014","103.53","104.36","104.54","103.46","-0.91%"
"Dec 23, 2014","103.17","104.46","104.57","102.98","-0.35%"
"Dec 24, 2014","103.46","103.09","103.70","103.03","0.29%"
"Dec 25, 2014","103.81","103.43","103.91","103.42","0.34%"
"Dec 26, 2014","103.54","103.77","103.81","103.44","-0.26%"
"Dec 29, 2014","103.14","103.51","103.65","102.77","-0.39%"
"Dec 30, 2014","104.17","103.08","104.72","102.87","0.99%"
"Dec 31, 2014","103.47","104.13","104.44","103.19","-0.67%"
"Jan 01, 2015","103.39","103.41","103.51","103.26","-0.08%"
"Jan 02, 2015","104.08","103.32","104.64","103.06","0.67%"
"Jan 05, 2015","105.55","104.02","105.77","103.91","1.41%"
"Jan 06, 2015","106.90","105.52","107.21","105.50","1.28%"
"Jan 07, 2015","106.82","106.87","107.32","106.38","-0.08%"
"Jan 08, 2015","105.97","106.78","106.93","105.69","-0.79%"
"Jan 09, 2015","106.74","105.91","106.85","105.51","0.73%"
"Jan 12, 2015","106.44","106.71","107.13","105.54","-0.28%"
"Jan 13, 2015","106.82","106.43","107.18","105.99","0.36%"
"Jan 14, 2015","107.50","106.77","108.68","106.72","0.63%"
"Jan 15, 2015","108.12","107.47","108.12","106.62","0.58%"
"Jan 16, 2015","107.00","108.05","108.65","106.85","-1.04%"
"Jan 19, 2015","107.33","106.97","107.84","106.93","0.31%"
"Jan 20, 2015","105.92","107.29","107.40","105.80","-1.31%"
"Jan 21, 2015","105.81","105.86","106.78","105.54","-0.11%"
"Jan 22, 2015","105.39","105.74","106.50","105.19","-0.39%"
"Jan 23, 2015","105.90","105.36","106.12","104.61","0.48%"
"Jan 26, 2015","105.61","105.85","106.69","105.50","-0.27%"
"Jan 27, 2015","105.84","105.55","106.33","105.26","0.22%"
"Jan 28, 2015","106.22","105.80","106.48","105.57","0.36%"
"Jan 29, 2015","106.25","106.18","106.79","105.96","0.02%"
"Jan 30, 2015","107.85","106.21","108.00","106.05","1.51%"
"Feb 02, 2015","107.87","107.79","108.58","107.57","0.02%"
"Feb 03, 2015","107.63","107.80","108.21","107.41","-0.22%"
"Feb 04, 2015","107.65","107.58","107.85","106.74","0.02%"
"Feb 05, 2015","107.47","107.60","108.11","107.37","-0.17%"
"Feb 06, 2015","106.02","107.43","107.70","105.74","-1.35%"
"Feb 09, 2015","106.60","105.80","106.87","105.79","0.55%"
"Feb 10, 2015","106.11","106.57","106.85","105.90","-0.46%"
"Feb 11, 2015","105.54","106.07","106.43","105.48","-0.53%"
"Feb 12, 2015","107.40","105.51","107.93","105.49","1.76%"
"Feb 13, 2015","107.68","107.36","107.86","106.93","0.26%"
"Feb 16, 2015","107.63","107.63","108.19","107.25","-0.05%"
"Feb 17, 2015","107.06","107.59","107.85","106.90","-0.52%"
"Feb 18, 2015","108.11","107.03","108.34","106.97","0.98%"
"Feb 19, 2015","107.97","108.06","108.39","107.72","-0.13%"
"Feb 20, 2015","107.64","107.94","108.35","107.45","-0.31%"
"Feb 23, 2015","108.03","107.60","108.08","107.38","0.36%"
"Feb 24, 2015","108.40","108.00","108.60","107.57","0.35%"
"Feb 25, 2015","108.31","108.37","108.70","108.09","-0.08%"
"Feb 26, 2015","107.50","108.29","108.36","107.38","-0.75%"
"Feb 27, 2015","108.12","107.47","108.57","107.44","0.58%"
"Mar 02, 2015","107.97","107.90","108.50","107.68","-0.14%"
"Mar 03, 2015","108.29","107.89","108.61","107.75","0.29%"
"Mar 04, 2015","108.47","108.23","108.69","108.17","0.18%"
"Mar 05, 2015","108.11","108.44","108.82","107.83","-0.33%"
"Mar 06, 2015","107.42","108.07","108.46","106.96","-0.65%"
"Mar 09, 2015","107.71","107.36","108.15","107.28","0.28%"
"Mar 10, 2015","108.07","107.67","108.26","107.04","0.33%"
"Mar 11, 2015","108.61","108.03","109.08","107.88","0.49%"
"Mar 12, 2015","108.68","108.54","109.25","108.12","0.07%"
"Mar 13, 2015","108.69","108.66","108.93","108.22","0.01%"
"Mar 16, 2015","109.14","108.63","109.36","108.55","0.40%"
"Mar 17, 2015","108.50","109.09","109.15","108.35","-0.59%"
"Mar 18, 2015","109.65","108.47","110.29","108.30","1.07%"
"Mar 19, 2015","107.90","109.59","110.04","107.63","-1.60%"
"Mar 20, 2015","109.27","107.86","109.39","107.78","1.26%"
"Mar 23, 2015","108.74","109.20","109.47","108.21","-0.49%"
"Mar 24, 2015","107.76","108.68","108.88","107.49","-0.90%"
"Mar 25, 2015","108.67","107.72","108.91","107.63","0.84%"
"Mar 26, 2015","109.22","108.64","110.00","108.55","0.51%"
"Mar 27, 2015","109.67","109.22","109.86","109.10","0.41%"
"Mar 30, 2015","108.89","109.59","109.82","108.69","-0.70%"
"Mar 31, 2015","108.83","108.84","109.17","108.61","-0.06%"
"Apr 01, 2015","108.90","108.78","109.35","108.29","0.06%"
"Apr 02, 2015","108.61","108.85","109.11","108.41","-0.27%"
"Apr 03, 2015","109.29","108.59","109.53","108.51","0.62%"
"Apr 06, 2015","108.40","109.26","109.44","108.25","-0.81%"
"Apr 07, 2015","107.96","108.38","108.67","107.74","-0.41%"
"Apr 08, 2015","107.83","107.92","108.47","107.62","-0.13%"
"Apr 09, 2015","106.96","107.78","107.93","106.79","-0.81%"
"Apr 10, 2015","107.43","106.93","107.58","106.85","0.44%"
"Apr 13, 2015","108.08","107.37","108.46","107.23","0.61%"
"Apr 14, 2015","108.73","108.03","109.03","107.98","0.60%"
"Apr 15, 2015","108.28","108.68","108.78","107.74","-0.42%"
"Apr 16, 2015","108.03","108.22","108.50","107.48","-0.23%"
"Apr 17, 2015","108.06","107.95","108.38","107.68","0.03%"
"Apr 20, 2015","108.14","108.08","108.67","107.86","0.07%"
"Apr 21, 2015","108.29","108.09","108.61","107.85","0.13%"
"Apr 22, 2015","107.57","108.23","108.36","107.47","-0.66%"
"Apr 23, 2015","108.33","107.50","108.49","107.35","0.71%"
"Apr 24, 2015","108.58","108.29","108.73","107.97","0.23%"
"Apr 27, 2015","109.04","108.50","109.17","108.48","0.42%"
"Apr 28, 2015","109.19","108.99","109.31","108.57","0.14%"
"Apr 29, 2015","108.70","109.15","109.30","108.34","-0.45%"
"Apr 30, 2015","108.60","108.67","109.25","108.06","-0.10%"
"May 01, 2015","107.86","108.56","108.60","107.70","-0.67%"
"May 04, 2015","108.04","107.82","108.57","107.74","0.17%"
"May 05, 2015","108.84","107.97","108.98","107.95","0.74%"
"May 06, 2015","109.11","108.82","109.36","108.37","0.25%"
"May 07, 2015","109.79","109.04","110.42","109.00","0.61%"
"May 08, 2015","109.57","109.74","110.07","108.99","-0.19%"
"May 11, 2015","109.55","109.65","109.92","109.32","-0.02%"
"May 12, 2015","110.11","109.49","110.19","109.39","0.51%"
"May 13, 2015","110.25","110.07","110.38","109.54","0.13%"
"May 14, 2015","110.25","110.20","110.53","110.03","0.00%"
"May 15, 2015","109.75","110.19","110.25","109.11","-0.45%"
"May 18, 2015","109.48","109.70","109.89","109.29","-0.24%"
"May 19, 2015","108.67","109.43","110.06","108.57","-0.74%"
"May 20, 2015","108.57","108.61","109.14","108.38","-0.09%"
