Date,Price,Open,High,Low
2016-07-14,124.18,125.25,125.89,123.43
2016-07-15,124.86,124.15,125.11,123.0
2016-07-18,123.29,124.21,124.39,123.11
2016-07-19,123.33,123.25,123.88,122.82
2016-07-20,122.72,123.31,123.82,122.47
2016-07-21,123.81,122.67,124.25,122.0
2016-07-22,123.58,123.74,124.09,123.17
2016-07-25,124.21,123.51,124.29,122.89
2016-07-26,125.82,124.13,126.58,124.01
2016-07-27,124.67,125.78,125.87,123.21
2016-07-28,124.46,124.61,125.49,124.12
2016-07-29,128.32,124.44,128.46,124.34
2016-08-01,127.65,128.28,128.41,127.3
2016-08-02,129.82,127.64,130.1,127.13
2016-08-03,129.65,129.77,130.21,129.15
2016-08-04,129.79,129.57,130.24,129.24
2016-08-05,128.95,129.74,130.16,128.56
2016-08-08,128.16,128.99,129.01,127.85
2016-08-09,128.88,128.13,129.01,128.01
2016-08-10,129.48,128.85,129.88,128.73
2016-08-11,128.65,129.44,129.79,128.47
2016-08-12,129.52,128.64,130.12,128.25
2016-08-15,129.5,129.67,130.0,129.21
2016-08-16,130.56,129.46,131.56,129.38
2016-08-17,130.61,130.53,130.92,129.41
2016-08-18,131.32,130.57,131.55,130.49
2016-08-19,131.29,131.27,131.56,130.56
2016-08-22,131.68,130.97,131.84,130.32
2016-08-23,131.87,131.63,132.27,131.53
2016-08-24,131.88,131.84,132.41,131.48
2016-08-25,131.73,131.83,132.15,131.54
2016-08-26,129.68,131.69,131.96,129.5
2016-08-29,130.16,129.64,130.31,129.23
2016-08-30,128.95,130.06,130.35,128.67
2016-08-31,128.28,128.91,129.26,128.09
2016-09-01,128.51,128.24,128.72,127.52
2016-09-02,127.39,128.46,128.88,126.93
2016-09-05,127.15,127.37,127.75,126.73
2016-09-06,128.67,127.13,128.81,126.69
2016-09-07,128.62,128.64,129.65,128.37
2016-09-08,127.46,128.54,129.16,127.25
2016-09-09,127.56,127.4,128.32,127.04
2016-09-12,128.61,127.5,128.97,127.37
2016-09-13,128.42,128.55,129.66,128.09
2016-09-14,128.91,128.35,129.15,127.79
2016-09-15,129.04,128.88,129.4,128.13
2016-09-16,128.63,128.97,129.46,128.35
2016-09-19,129.06,128.66,129.52,128.4
2016-09-20,129.31,129.01,129.54,128.71
2016-09-21,130.94,129.28,130.98,127.99
2016-09-22,129.93,130.87,131.27,129.61
2016-09-23,129.47,129.88,129.97,129.22
2016-09-26,129.87,129.46,130.0,129.32
2016-09-27,128.98,129.85,130.18,128.16
2016-09-28,128.62,128.95,129.19,128.35
2016-09-29,128.44,128.62,128.69,127.39
2016-09-30,128.78,128.41,129.28,127.56
2016-10-03,127.72,128.78,128.97,127.7
2016-10-04,126.17,127.7,127.81,126.06
2016-10-05,125.58,126.19,126.67,125.38
2016-10-06,124.95,125.54,125.71,124.66
2016-10-07,126.17,124.95,126.25,124.83
2016-10-10,125.26,125.85,126.17,125.04
2016-10-11,125.7,125.23,126.14,124.83
2016-10-12,124.92,125.7,125.98,124.58
2016-10-13,126.11,124.94,126.56,124.42
2016-10-14,125.19,126.11,126.22,124.84
2016-10-17,125.79,125.29,125.91,124.91
2016-10-18,125.47,125.78,126.06,125.05
2016-10-19,125.75,125.47,126.08,125.19
2016-10-20,125.12,125.75,125.88,124.92
2016-10-21,125.63,125.17,126.04,124.9
2016-10-24,124.91,125.56,125.62,124.73
2016-10-25,124.78,124.93,125.0,123.98
2016-10-26,124.5,124.78,125.06,124.31
2016-10-27,123.78,124.48,124.89,123.69
2016-10-28,124.64,123.8,124.91,123.65
2016-10-31,124.48,124.63,125.14,123.97
2016-11-01,125.22,124.5,125.67,124.05
2016-11-02,126.39,125.19,126.73,125.17
2016-11-03,126.96,126.43,127.36,126.21
2016-11-04,126.72,126.96,127.52,126.39
2016-11-07,125.28,126.67,126.72,125.06
2016-11-08,124.42,125.27,125.51,124.32
2016-11-09,123.97,124.39,130.16,123.67
2016-11-10,122.98,123.97,124.93,122.81
2016-11-11,124.56,122.97,126.98,122.81
2016-11-14,123.19,124.72,124.72,123.05
2016-11-15,122.39,123.22,124.19,122.19
2016-11-16,122.64,122.33,122.72,121.84
2016-11-17,121.44,122.69,123.36,121.36
2016-11-18,121.03,121.44,122.33,120.98
2016-11-21,121.13,121.09,121.58,120.56
2016-11-22,120.95,121.09,121.72,120.68
2016-11-23,119.85,120.95,121.58,119.32
2016-11-24,119.61,119.88,120.44,119.41
2016-11-25,119.54,119.6,120.16,119.05
2016-11-28,120.88,119.56,121.14,119.55
2016-11-29,120.78,120.78,121.19,119.73
2016-11-30,118.4,120.79,121.15,118.32
2016-12-01,118.73,118.45,119.19,118.02
2016-12-02,119.08,118.72,119.37,118.19
2016-12-05,117.99,119.12,119.81,117.02
2016-12-06,117.38,118.02,118.36,117.05
2016-12-07,117.13,117.33,117.5,116.64
2016-12-08,116.51,117.12,117.43,116.16
2016-12-09,115.49,116.54,116.75,115.49
2016-12-12,115.86,115.58,116.03,114.72
2016-12-13,115.53,115.86,116.18,115.22
2016-12-14,113.61,115.52,115.86,113.23
2016-12-15,113.37,113.57,114.08,112.8
2016-12-16,113.48,113.38,113.98,112.89
2016-12-19,114.31,113.56,114.84,113.43
2016-12-20,113.94,114.3,114.42,113.47
2016-12-21,114.58,113.87,115.02,113.79
